RATE,LEN,ADT,TRKS,SLIM,LWID,SHLD,ITG,SIGS,ACPT,LANE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE
4.58,4.99,69.00,8.00,55.00,12.00,10.00,1.20,0.00,4.60,8.00,1,0,0,0,1
2.86,16.11,73.00,8.00,60.00,12.00,10.00,1.43,0.00,4.40,4.00,1,0,0,0,1
3.02,9.75,49.00,10.00,60.00,12.00,10.00,1.54,0.00,4.70,4.00,1,0,0,0,1
2.29,10.65,61.00,13.00,65.00,12.00,10.00,0.94,0.00,3.80,6.00,1,0,0,0,1
1.61,20.01,28.00,12.00,70.00,12.00,10.00,0.65,0.00,2.20,4.00,1,0,0,0,1
6.87,5.97,30.00,6.00,55.00,12.00,10.00,0.34,1.84,24.80,4.00,0,1,0,0,2
3.85,8.57,46.00,8.00,55.00,12.00,8.00,0.47,0.70,11.00,4.00,0,1,0,0,2
6.12,5.24,25.00,9.00,55.00,12.00,10.00,0.38,0.38,18.50,4.00,0,1,0,0,2
3.29,15.79,43.00,12.00,50.00,12.00,4.00,0.95,1.39,7.50,4.00,0,1,0,0,2
5.88,8.26,23.00,7.00,50.00,12.00,5.00,0.12,1.21,8.20,4.00,0,1,0,0,2
4.20,7.03,23.00,6.00,60.00,12.00,10.00,0.29,1.85,5.40,4.00,0,1,0,0,2
4.61,13.28,20.00,9.00,50.00,12.00,2.00,0.15,1.21,11.20,4.00,0,1,0,0,2
4.80,5.40,18.00,14.00,50.00,12.00,8.00,0.00,0.56,15.20,2.00,0,1,0,0,2
3.85,2.96,21.00,8.00,60.00,12.00,10.00,0.34,0.00,5.40,4.00,0,1,0,0,2
2.69,11.75,27.00,7.00,55.00,12.00,10.00,0.26,0.60,7.90,4.00,0,1,0,0,2
1.99,8.86,22.00,9.00,60.00,12.00,10.00,0.68,0.00,3.20,4.00,0,1,0,0,2
2.01,9.78,19.00,9.00,60.00,12.00,10.00,0.20,0.10,11.00,4.00,0,1,0,0,2
4.22,5.49,9.00,11.00,50.00,12.00,6.00,0.18,0.18,8.90,2.00,0,1,0,0,2
2.76,8.63,12.00,8.00,55.00,13.00,6.00,0.14,0.00,12.40,2.00,0,1,0,0,2
2.55,20.31,12.00,7.00,60.00,12.00,10.00,0.05,0.99,7.80,4.00,0,1,0,0,2
1.89,40.09,15.00,13.00,55.00,12.00,8.00,0.05,0.12,9.60,4.00,0,1,0,0,2
2.34,11.81,8.00,8.00,60.00,12.00,10.00,0.00,0.00,4.30,2.00,0,1,0,0,2
2.83,11.39,5.00,9.00,50.00,12.00,8.00,0.00,0.09,11.10,2.00,0,1,0,0,2
1.81,22.00,5.00,15.00,60.00,12.00,7.00,0.00,0.00,6.80,2.00,0,1,0,0,2
9.23,3.58,23.00,6.00,40.00,12.00,2.00,0.56,2.51,53.00,4.00,0,0,1,0,3
8.60,3.23,13.00,6.00,45.00,12.00,2.00,0.31,0.93,17.30,2.00,0,0,1,0,3
8.21,7.73,7.00,8.00,55.00,12.00,8.00,0.13,0.52,27.30,2.00,0,0,1,0,3
2.93,14.41,10.00,10.00,55.00,12.00,6.00,0.00,0.07,18.00,2.00,0,0,1,0,3
7.48,11.54,12.00,7.00,45.00,12.00,3.00,0.09,0.09,30.20,2.00,0,0,1,0,3
2.57,11.10,9.00,8.00,60.00,12.00,7.00,0.00,0.00,10.30,2.00,0,0,1,0,3
5.77,22.09,4.00,8.00,45.00,11.00,3.00,0.00,0.14,18.20,2.00,0,0,1,0,3
2.90,9.39,5.00,10.00,55.00,13.00,1.00,0.00,0.00,12.30,2.00,0,0,1,0,3
2.97,19.49,4.00,13.00,55.00,12.00,4.00,0.00,0.00,7.10,2.00,0,0,1,0,3
1.84,21.01,5.00,12.00,55.00,10.00,8.00,0.00,0.10,14.00,2.00,0,0,1,0,3
3.78,27.16,2.00,10.00,55.00,12.00,3.00,0.04,0.04,11.30,2.00,0,0,1,0,3
2.76,14.03,3.00,8.00,50.00,12.00,4.00,0.07,0.00,16.30,2.00,0,0,1,0,3
4.27,20.63,1.00,11.00,55.00,11.00,4.00,0.00,0.00,9.60,2.00,0,0,1,0,3
3.05,20.06,3.00,11.00,60.00,12.00,8.00,0.00,0.00,9.00,2.00,0,0,0,1,4
4.12,12.91,1.00,10.00,55.00,12.00,3.00,0.00,0.00,10.40,2.00,0,0,0,1,4
