CASEID,PresVote,Female,Black,Hisp,Other,Single,Divorced,Widowed,Age,HighestGrade,Income,PartyID,Race,Marital Status
2276,1,0,0,0,1,1,0,0,24,17,1,1,other,Never Mar
73,1,0,1,0,0,1,0,0,20,14,1,1,black,Never Mar
325,1,1,1,0,0,1,0,0,44,12,1,1,black,Never Mar
1584,1,1,1,0,0,0,0,1,57,10,1,1,black,Widowed
1627,1,1,1,0,0,0,0,1,72,12,4,1,black,Widowed
944,1,1,0,0,0,0,1,0,58,12,6,1,white,Div/Sep
930,1,0,1,0,0,0,1,0,68,12,6,1,black,Div/Sep
1076,1,1,0,0,0,0,0,1,68,10,6,1,white,Widowed
348,1,1,0,0,0,1,0,0,29,12,7,1,white,Never Mar
1582,1,1,1,0,0,0,0,1,62,12,7,1,black,Widowed
706,1,1,1,0,0,0,1,0,46,9,7,1,black,Div/Sep
293,1,1,0,0,0,1,0,0,25,16,9,1,white,Never Mar
2006,1,1,0,0,1,0,1,0,45,14,9,1,other,Div/Sep
1757,1,1,1,0,0,0,0,0,73,7,9,1,black,Mar/Part
1590,1,0,0,0,0,0,0,1,77,13,10,1,white,Widowed
1828,1,1,1,0,0,1,0,0,35,9,10,1,black,Never Mar
964,1,1,0,0,0,0,0,0,64,14,11,1,white,Mar/Part
2190,1,1,1,0,0,1,0,0,52,11,11,1,black,Never Mar
1019,1,1,1,0,0,0,1,0,76,14,12,1,black,Div/Sep
1106,1,1,0,0,0,0,0,0,50,14,12,1,white,Mar/Part
900,1,0,1,0,0,0,1,0,57,12,12,1,black,Div/Sep
2102,1,0,1,0,0,0,1,0,57,12,12,1,black,Div/Sep
2001,1,0,1,0,0,0,0,1,85,7,12,1,black,Widowed
1413,1,0,0,1,0,0,1,0,70,17,13,1,Hisp,Div/Sep
1973,1,1,0,1,0,1,0,0,29,15,13,1,Hisp,Never Mar
1525,0,1,1,0,0,0,1,0,54,12,13,1,black,Div/Sep
2239,1,1,0,1,0,0,0,0,44,12,13,1,Hisp,Mar/Part
1816,1,0,1,0,0,1,0,0,40,12,13,1,black,Never Mar
2179,1,1,0,0,0,0,0,0,37,16,15,1,white,Mar/Part
2180,1,1,0,1,0,0,0,0,52,16,15,1,Hisp,Mar/Part
974,1,0,0,0,0,1,0,0,63,16,15,1,white,Never Mar
76,1,0,0,0,0,0,1,0,58,17,17,1,white,Div/Sep
1507,1,1,1,0,0,1,0,0,54,17,17,1,black,Never Mar
71,1,1,0,0,0,0,1,0,47,16,17,1,white,Div/Sep
232,1,0,1,0,0,0,0,0,57,14,17,1,black,Mar/Part
66,1,1,0,0,0,0,0,0,28,17,18,1,white,Mar/Part
