"entered.date","enterer","date","time","observer","plant","sex","exclosure","position","pre","m1","m2.early","m2.late","f.early","f.late","post","abort","imm","notes","projected","osr.0.f","osr.1.f","osr.2.f","osr.3.f","osr.4.f","osr.5.f","osr.patch.f","osr.0.m","osr.1.m","osr.2.m","osr.3.m","osr.4.m","osr.5.m","osr.patch.m","size.0.f","size.1.f","size.2.f","size.3.f","size.4.f","size.5.f","size.patch.f","size.0.m","size.1.m","size.2.m","size.3.m","size.4.m","size.5.m","size.patch.m"
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1469","F",1,1,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.292397660818713,0.490196078431373,0.387596899224806,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,0,1.71,4.08,6.45,0,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A116","F",1,2,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.292397660818713,0.292397660818713,0.519287833827893,0.240384615384615,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,0,1.71,1.71,6.74,2.08,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1330","F",1,3,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.292397660818713,0.458715596330275,0.393700787401575,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,0,1.71,5.45,5.08,0,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","C91","F",1,4,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.5,0,0.516795865633075,0.240384615384615,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,1,1.42,7.74,2.08,0,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A3401","H",1,5,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0,0.5,0.292397660818713,0.519287833827893,0.240384615384615,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,0.71,1,1.71,6.74,2.08,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1522","F",1,6,0,0,0,0,0,0,0,3,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0,0.465116279069767,0.45766590389016,0,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,0.71,6.45,4.37,0.71,0,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A2219","H",1,7,0,0,0,0,1,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.5,0,0.473372781065089,0.240384615384615,NA,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,1,0.71,8.45,2.08,0,0,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1229","F",1,8,0,0,0,0,1,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,0,NA,0.5,0.469798657718121,0,0.364963503649635,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0.71,0,2,7.45,0.71,1.37,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A633","F",1,9,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.364963503649635,0.417536534446764,0.45766590389016,0.5,0,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0,1.37,4.79,4.37,1,0.71,12.24,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A663","F",1,10,0,0,0,0,1,0,0,2,0,"didn't distinguish early from late ♂2 and ♀",0,0,0.5720823798627,0.387596899224806,0,NA,NA,0.408496732026144,NA,NA,NA,NA,NA,NA,NA,0.71,4.37,6.45,0.71,0,0,12.24,0,0,0,0,0,0,0
